Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
2,1,32,2,0,73.5,0,0
2,1,25,0,0,13,0,0
3,1,0,0,0,7775,0,0
3,1,43,0,0,8.05,0,0
1,0,0,1,0,52,0,1
2,0,40,1,1,39,0,1
1,1,31,1,0,52,0,0
2,1,70,0,0,10.5,0,0
2,1,31,0,0,13,0,1
2,1,0,0,0,0,0,0
3,1,18,0,0,7775,0,0
3,1,24.5,0,0,8.05,0,0
3,0,18,0,0,9.8417,0,1
3,0,43,1,6,46.9,0,0
1,1,36,0,1,512.3292,1,1
3,0,0,0,0,8.1375,2,0
1,1,27,0,0,76.7292,1,1
3,1,20,0,0,9225,0,0
3,1,14,5,2,46.9,0,0
2,1,60,1,1,39,0,0
2,1,25,1,2,41.5792,1,0
3,1,14,4,1,39.6875,0,0
3,1,19,0,0,10.1708,0,0
3,1,18,0,0,7.7958,0,0
1,0,15,0,1,211.3375,0,1
1,1,31,1,0,57,0,1
3,0,4,0,1,13.4167,1,1
3,1,0,0,0,56.4958,0,1
3,1,25,0,0,7225,1,0
1,1,60,0,0,26.55,0,0
2,1,52,0,0,13.5,0,0
3,1,44,0,0,8.05,0,0
3,0,0,0,0,7.7333,2,1
1,1,49,1,1,110.8833,1,0
3,1,42,0,0,7.65,0,0
1,0,18,1,0,227525,1,1
1,1,35,0,0,26.2875,0,1
3,0,18,0,1,14.4542,1,0
3,1,25,0,0,7.7417,2,0
3,1,26,1,0,7.8542,0,0
2,1,39,0,0,26,0,0
2,0,45,0,0,13.5,0,1
1,1,42,0,0,26.2875,0,1
1,0,22,0,0,151.55,0,1
3,1,0,1,1,15.2458,1,1
1,0,24,0,0,49.5042,1,1
1,1,0,0,0,26.55,0,0
1,1,48,1,0,52,0,1
3,1,29,0,0,9.4833,0,0
